Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
265,Jon Leuer,PF,26,PHO,67,27,1255,224,466,42,110,182,356,77,101,76,297,373,72,38,30,75,125,567
266,Damian Lillard,PG,25,POR,75,75,2676,618,1474,229,610,389,864,414,464,45,257,302,512,65,28,242,165,1879
267,Jeremy Lin,SG,27,CHO,78,13,2048,300,728,76,226,224,502,238,292,42,211,253,235,58,42,150,165,914
268,Shaun Livingston,PG,30,GSW,78,3,1520,203,379,2,12,201,367,80,93,42,127,169,237,57,27,78,140,488
269,Kevon Looney,PF,19,GSW,5,0,21,4,7,1,2,3,5,0,0,4,6,10,0,0,0,1,2,9
270,Brook Lopez,C,27,BRK,73,73,2457,591,1157,2,14,589,1143,317,403,204,369,573,147,58,124,175,215,1501
271,Robin Lopez,C,27,NYK,82,82,2219,357,662,0,1,357,661,128,161,268,334,602,114,16,129,133,182,842
272,Kevin Love,PF,27,CLE,77,77,2424,409,977,158,439,251,538,258,314,149,613,762,186,58,41,142,159,1234
273,Kyle Lowry,PG,29,TOR,77,77,2851,512,1198,212,547,300,651,398,491,55,310,365,494,158,34,225,211,1634
274,Trey Lyles,PF,20,UTA,80,33,1382,191,436,49,128,142,308,57,82,59,240,299,59,26,18,65,114,488
275,Shelvin Mack,PG,25,TOT,52,27,1058,182,415,39,125,143,290,45,61,13,115,128,187,34,3,95,72,448
275,Shelvin Mack,PG,25,ATL,24,0,179,40,95,4,27,36,68,9,12,2,20,22,38,8,0,14,7,93
275,Shelvin Mack,PG,25,UTA,28,27,879,142,320,35,98,107,222,36,49,11,95,106,149,26,3,81,65,355
276,Ian Mahinmi,C,29,IND,71,71,1816,264,448,0,0,264,448,132,225,138,369,507,104,65,75,100,220,660
277,Devyn Marble,SG,23,ORL,28,0,249,21,71,8,32,13,39,10,24,6,32,38,12,13,1,7,25,60
278,Boban Marjanovic,C,27,SAS,54,4,508,105,174,0,0,105,174,87,114,73,121,194,21,12,23,29,54,297
279,Kendall Marshall,PG,24,PHI,30,6,400,43,118,16,49,27,69,9,13,2,26,28,73,16,2,43,30,111
280,Jarell Martin,PF,21,MEM,27,0,380,54,116,0,2,54,114,45,62,39,47,86,15,8,7,19,58,153
281,Kevin Martin,SG,32,TOT,55,13,1095,156,419,49,136,107,283,153,172,14,96,110,58,26,3,54,83,514
281,Kevin Martin,SG,32,MIN,39,12,834,126,334,38,103,88,231,125,142,10,71,81,46,17,1,41,68,415
281,Kevin Martin,SG,32,SAS,16,1,261,30,85,11,33,19,52,28,30,4,25,29,12,9,2,13,15,99
282,Wesley Matthews,SF,29,DAL,78,78,2644,331,854,189,525,142,329,126,146,27,211,238,151,78,17,78,179,977
