Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
354,Paul Pierce,SF,38,LAC,68,38,1231,144,397,75,242,69,155,54,66,12,174,186,71,33,17,58,129,417
355,Tibor Pleiss,C,26,UTA,12,0,82,11,25,0,2,11,23,2,2,6,9,15,2,1,2,8,19,24
356,Mason Plumlee,C,25,POR,82,82,2084,267,517,0,4,267,513,215,335,201,427,628,226,68,85,154,253,749
357,Miles Plumlee,C,27,MIL,61,14,870,140,233,0,0,140,233,34,59,94,138,232,16,21,50,40,73,314
358,Otto Porter,SF,22,WAS,75,73,2276,339,717,98,267,241,450,95,126,97,294,391,120,105,32,70,163,871
359,Bobby Portis,PF,20,CHI,62,4,1102,186,436,16,52,170,384,48,66,123,214,337,52,25,22,54,100,436
360,Kristaps Porzingis,PF,20,NYK,72,72,2047,373,886,81,243,292,643,201,240,132,394,526,94,53,134,121,205,1028
361,Dwight Powell,PF,24,DAL,69,2,992,146,296,2,16,144,280,105,142,84,189,273,44,36,24,40,118,399
362,Norman Powell,SG,22,TOR,49,24,725,97,229,36,89,61,140,43,53,16,95,111,47,29,10,32,59,273
363,Phil Pressey,PG,24,TOT,23,0,283,30,78,4,18,26,60,13,25,3,28,31,75,18,4,33,28,77
363,Phil Pressey,PG,24,PHI,14,0,170,21,55,4,13,17,42,9,18,0,23,23,46,11,1,19,14,55
363,Phil Pressey,PG,24,PHO,9,0,113,9,23,0,5,9,18,4,7,3,5,8,29,7,3,14,14,22
364,Ronnie Price,PG,32,PHO,62,18,1211,116,302,68,196,48,106,31,41,25,74,99,147,74,13,70,161,331
365,Pablo Prigioni,PG,38,LAC,59,3,823,55,147,28,95,27,52,7,8,38,76,114,130,53,1,49,82,145
366,Tayshaun Prince,SF,35,MIN,77,44,1462,102,229,4,23,98,206,13,19,32,115,147,73,36,13,27,62,221
367,Julius Randle,PF,21,LAL,81,60,2286,358,835,10,36,348,799,193,270,172,657,829,144,53,29,149,242,919
368,Zach Randolph,PF,34,MEM,68,53,2016,431,907,6,26,425,881,172,216,179,350,529,142,43,13,105,146,1040
369,J.J. Redick,SG,31,LAC,75,75,2097,422,880,200,421,222,459,182,205,10,129,139,106,42,5,78,135,1226
370,Willie Reed,C,25,BRK,39,2,426,76,133,0,0,76,133,30,55,49,73,122,10,6,30,16,47,182
371,Josh Richardson,SG,22,MIA,52,2,1107,123,272,53,115,70,157,42,63,21,86,107,73,36,25,35,107,341
372,Austin Rivers,SG,23,LAC,67,7,1464,226,516,62,185,164,331,79,116,22,108,130,99,48,9,61,137,593
373,Andre Roberson,SG,24,OKC,70,70,1553,136,274,32,103,104,171,33,54,79,172,251,47,53,42,35,133,337
374,Brian Roberts,PG,30,TOT,51,0,470,74,165,15,42,59,123,42,47,6,35,41,54,10,2,23,35,205
374,Brian Roberts,PG,30,CHO,30,0,333,51,115,9,27,42,88,34,37,4,25,29,38,7,1,16,23,145
374,Brian Roberts,PG,30,POR,21,0,137,23,50,6,15,17,35,8,10,2,10,12,16,3,1,7,12,60
375,Glenn Robinson,SF,22,IND,45,4,508,65,151,14,37,51,114,27,39,12,56,68,26,17,9,18,21,171
376,Nate Robinson,PG,31,NOP,2,1,23,0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,5,0
377,Thomas Robinson,PF,24,BRK,71,7,917,130,291,0,1,130,290,47,109,136,223,359,46,39,36,69,111,307
378,Rajon Rondo,PG,29,SAC,72,72,2537,355,782,62,170,293,612,87,150,77,358,435,839,141,10,278,175,859
379,Derrick Rose,PG,27,CHI,66,66,2097,447,1048,44,150,403,898,142,179,46,179,225,311,44,14,175,84,1080
380,Terrence Ross,SF,24,TOR,73,7,1747,270,626,131,339,139,287,49,62,21,164,185,56,54,25,46,120,720
381,Terry Rozier,PG,21,BOS,39,0,311,29,106,6,27,23,79,8,10,24,39,63,37,6,1,19,23,72
382,Ricky Rubio,PG,25,MIN,76,76,2323,219,586,62,190,157,396,266,314,40,286,326,658,162,10,193,201,766
383,Damjan Rudez,SF,29,MIN,33,0,277,25,62,17,50,8,12,8,8,5,15,20,11,3,1,13,33,75
384,Brandon Rush,SG,30,GSW,72,25,1055,111,260,65,157,46,103,18,28,21,160,181,57,20,23,33,57,305
385,D'Angelo Russell,PG,19,LAL,80,48,2259,392,956,130,370,262,586,140,190,47,227,274,266,93,13,196,142,1054
386,Robert Sacre,C,26,LAL,25,1,320,31,75,0,0,31,75,25,38,32,40,72,14,4,10,12,43,87
387,JaKarr Sampson,SF,22,TOT,73,40,1160,140,317,14,63,126,254,80,122,46,144,190,46,23,33,70,142,374
387,JaKarr Sampson,SF,22,PHI,47,18,691,86,202,6,34,80,168,62,97,30,99,129,30,11,16,51,91,240
387,JaKarr Sampson,SF,22,DEN,26,22,469,54,115,8,29,46,86,18,25,16,45,61,16,12,17,19,51,134
388,Dennis Schroder,PG,22,ATL,80,6,1621,329,781,77,239,252,542,144,182,25,179,204,349,70,9,183,138,879
389,Luis Scola,PF,35,TOR,76,76,1636,269,598,65,161,204,437,61,84,84,276,360,66,46,27,68,178,664
390,Mike Scott,PF,27,ATL,75,0,1146,176,376,62,158,114,218,50,63,53,153,206,78,25,17,42,102,464
391,Thabo Sefolosha,SF,31,ATL,75,11,1758,188,372,42,124,146,248,62,99,52,282,334,107,85,37,68,109,480
392,Kevin Seraphin,C,26,NYK,48,0,526,84,205,0,2,84,203,19,23,31,95,126,47,8,36,43,67,187
393,Ramon Sessions,PG,29,WAS,82,5,1667,280,592,36,111,244,481,214,283,25,178,203,239,46,5,115,102,810
394,Iman Shumpert,SG,25,CLE,54,5,1316,114,305,43,146,71,159,40,51,32,171,203,92,54,19,57,119,311
395,Jonathon Simmons,SG,26,SAS,55,2,813,122,242,18,47,104,195,69,92,16,80,96,58,24,5,53,103,331
396,Henry Sims,C,25,BRK,14,4,263,33,77,0,0,33,77,25,30,21,51,72,9,9,14,12,37,91
397,Kyle Singler,SF,27,OKC,68,2,977,86,221,30,97,56,124,29,44,50,91,141,24,30,9,32,120,231
398,Donald Sloan,PG,28,BRK,61,33,1318,154,350,38,99,116,251,78,104,17,156,173,268,32,4,80,73,424
399,Marcus Smart,PG,21,BOS,61,10,1667,184,529,61,241,123,288,129,166,76,179,255,185,91,18,80,183,558
400,Greg Smith,PF,25,MIN,18,0,192,18,32,0,0,18,32,7,17,12,30,42,6,4,1,7,28,43
401,Ish Smith,PG,27,TOT,77,53,2239,397,967,56,170,341,797,122,176,43,262,305,502,88,24,175,133,972
401,Ish Smith,PG,27,NOP,27,3,617,98,228,10,33,88,195,33,43,14,78,92,154,24,6,45,38,239
401,Ish Smith,PG,27,PHI,50,50,1622,299,739,46,137,253,602,89,133,29,184,213,348,64,18,130,95,733
402,J.R. Smith,SG,30,CLE,77,77,2362,353,850,204,510,149,340,45,71,43,174,217,130,81,21,59,204,955
403,Jason Smith,C,29,ORL,76,2,1181,244,503,4,16,240,487,54,67,53,166,219,62,33,65,57,163,546
404,Josh Smith,PF,30,TOT,55,7,880,127,349,41,143,86,206,37,67,51,141,192,90,34,47,77,118,332
404,Josh Smith,PF,30,LAC,32,1,459,69,180,18,58,51,122,25,42,33,92,125,42,18,34,41,62,181
404,Josh Smith,PF,30,HOU,23,6,421,58,169,23,85,35,84,12,25,18,49,67,48,16,13,36,56,151
405,Russ Smith,PG,24,MEM,15,0,66,7,22,1,5,6,17,8,13,1,8,9,11,5,1,7,5,23
406,Tony Snell,SF,24,CHI,64,33,1301,126,339,56,155,70,184,30,33,19,180,199,63,16,17,52,100,338
407,Marreese Speights,C,28,GSW,72,0,832,197,456,24,62,173,394,94,114,77,162,239,61,19,34,66,117,512
408,Tiago Splitter,C,31,ATL,36,2,579,81,155,0,2,81,153,39,48,45,75,120,30,20,12,24,71,201
409,Nik Stauskas,SG,22,PHI,73,35,1809,210,545,106,325,104,220,91,118,23,160,183,138,44,20,94,115,617
410,Lance Stephenson,SF,25,TOT,69,13,1372,228,474,30,78,198,396,87,111,40,183,223,133,43,9,94,135,573
410,Lance Stephenson,SF,25,LAC,43,10,680,82,166,19,47,63,119,21,30,19,89,108,60,24,3,48,79,204
410,Lance Stephenson,SF,25,MEM,26,3,692,146,308,11,31,135,277,66,81,21,94,115,73,19,6,46,56,369
411,Alex Stepheson,PF,28,TOT,8,0,73,9,27,0,0,9,27,4,12,19,9,28,2,1,5,0,12,22
411,Alex Stepheson,PF,28,LAC,4,0,12,1,1,0,0,1,1,0,2,1,1,2,0,0,2,0,4,2
411,Alex Stepheson,PF,28,MEM,4,0,61,8,26,0,0,8,26,4,10,18,8,26,2,1,3,0,8,20
412,Jarnell Stokes,C,22,TOT,7,0,18,3,5,0,0,3,5,1,2,1,3,4,1,1,0,0,1,7
412,Jarnell Stokes,C,22,MEM,2,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
412,Jarnell Stokes,C,22,MIA,5,0,14,3,5,0,0,3,5,1,2,0,2,2,1,1,0,0,1,7
413,Amar'e Stoudemire,C,33,MIA,52,36,762,125,221,0,0,125,221,50,67,65,157,222,27,18,41,47,92,300
414,Rodney Stuckey,PG,29,IND,58,1,1275,183,443,20,83,163,360,131,158,19,137,156,142,43,8,76,77,517
415,Jared Sullinger,PF,23,BOS,81,73,1915,351,806,29,103,322,703,103,161,194,479,673,187,75,47,102,209,834
416,Edy Tavares,C,23,ATL,11,0,73,11,19,0,0,11,19,3,8,7,14,21,3,1,6,5,8,25
417,Jeff Teague,PG,27,ATL,79,78,2255,434,988,110,275,324,713,261,312,33,181,214,470,97,24,218,167,1239
418,Mirza Teletovic,PF,30,PHO,79,1,1686,332,777,181,460,151,317,120,155,55,247,302,89,32,21,84,159,965
419,Garrett Temple,SF,29,WAS,80,43,1951,201,505,89,258,112,247,91,125,36,176,212,140,69,18,64,195,582
420,Jason Terry,SG,38,HOU,72,7,1258,151,376,93,261,58,115,27,33,14,65,79,103,47,9,49,91,422
421,Isaiah Thomas,PG,26,BOS,82,79,2644,591,1382,167,465,424,917,474,544,46,197,243,509,91,9,220,167,1823
422,Lance Thomas,PF,27,NYK,59,5,1313,169,382,44,109,125,273,102,119,34,97,131,53,22,7,57,109,484
423,Hollis Thompson,SG,24,PHI,77,17,2154,270,680,149,392,121,288,69,96,54,218,272,99,36,24,76,187,758
424,Jason Thompson,C,29,TOT,47,7,471,52,108,5,15,47,93,38,54,32,102,134,29,12,20,15,80,147
424,Jason Thompson,C,29,GSW,28,1,179,20,42,0,0,20,42,20,32,10,44,54,19,4,8,7,40,60
424,Jason Thompson,C,29,TOR,19,6,292,32,66,5,15,27,51,18,22,22,58,80,10,8,12,8,40,87
425,Klay Thompson,SG,25,GSW,80,80,2666,651,1386,276,650,375,736,193,221,35,271,306,166,60,49,138,152,1771
426,Tristan Thompson,PF,24,CLE,82,34,2269,247,420,0,0,247,420,149,242,268,470,738,62,38,51,61,202,643
427,Marcus Thornton,SG,28,TOT,61,8,1109,216,542,91,270,125,272,67,79,38,112,150,85,47,4,51,90,590
427,Marcus Thornton,SG,28,HOU,47,6,885,174,435,73,216,101,219,51,58,31,84,115,66,34,3,40,73,472
427,Marcus Thornton,SG,28,WAS,14,2,224,42,107,18,54,24,53,16,21,7,28,35,19,13,1,11,17,118
428,Anthony Tolliver,PF,30,DET,72,5,1341,128,332,98,272,30,60,29,47,39,190,229,52,26,16,28,86,383
429,Axel Toupane,SF,23,DEN,21,0,305,25,70,13,40,12,30,13,17,8,23,31,15,7,6,6,40,76
430,Karl-Anthony Towns,C,20,MIN,82,82,2627,625,1153,30,88,595,1065,223,275,229,629,858,161,58,138,183,245,1503
431,P.J. Tucker,SF,30,PHO,82,80,2540,239,582,68,206,171,376,106,142,165,347,512,177,106,20,111,202,652
432,Evan Turner,SG,27,BOS,81,12,2271,343,753,20,83,323,670,148,179,50,347,397,359,80,28,169,139,854
433,Myles Turner,C,19,IND,60,30,1367,264,530,3,14,261,516,88,121,68,264,332,41,25,86,67,158,619
434,Beno Udrih,PG,33,TOT,44,5,707,86,198,15,44,71,154,18,20,8,64,72,116,14,1,53,51,205
434,Beno Udrih,PG,33,MEM,8,0,120,20,46,4,11,16,35,3,3,2,7,9,26,3,1,11,11,47
434,Beno Udrih,PG,33,MIA,36,5,587,66,152,11,33,55,119,15,17,6,57,63,90,11,0,42,40,158
435,Jonas Valanciunas,C,23,TOR,60,59,1557,303,536,0,0,303,536,162,213,184,363,547,42,25,80,85,158,768
436,Anderson Varejao,C,33,TOT,53,0,496,53,124,0,1,53,123,32,50,37,104,141,35,16,10,22,70,138
436,Anderson Varejao,C,33,CLE,31,0,310,32,76,0,1,32,75,16,21,24,67,91,20,11,5,16,35,80
436,Anderson Varejao,C,33,GSW,22,0,186,21,48,0,0,21,48,16,29,13,37,50,15,5,5,6,35,58
437,Greivis Vasquez,PG,29,MIL,23,0,460,45,138,18,73,27,65,22,26,5,42,47,91,10,0,40,42,130
438,Rashad Vaughn,SG,19,MIL,70,6,1001,81,266,43,147,38,119,12,15,11,77,88,39,29,16,28,73,217
439,Charlie Villanueva,PF,31,DAL,62,4,665,125,327,47,172,78,155,22,24,24,128,152,24,18,15,31,71,319
440,Noah Vonleh,PF,20,POR,78,56,1174,117,278,11,46,106,232,38,51,91,214,305,30,27,26,50,152,283
441,Nikola Vucevic,C,25,ORL,65,60,2037,533,1046,2,9,531,1037,113,150,174,402,576,179,53,70,123,173,1181
442,Sasha Vujacic,SG,31,NYK,61,25,908,106,277,52,143,54,134,32,39,26,123,149,84,34,5,44,83,296
443,Dwyane Wade,SG,34,MIA,74,73,2258,540,1183,7,44,533,1139,322,406,82,220,302,344,79,42,203,116,1409
444,Dion Waiters,SG,24,OKC,78,15,2152,282,706,86,240,196,466,112,157,36,166,202,154,81,15,120,143,762
445,Kemba Walker,PG,25,CHO,81,81,2885,568,1331,182,490,386,841,371,438,56,301,357,421,126,39,171,111,1689
446,John Wall,PG,25,WAS,77,77,2784,572,1349,115,328,457,1021,272,344,42,337,379,789,145,59,318,159,1531
447,T.J. Warren,SF,22,PHO,47,4,1070,221,441,28,70,193,371,45,64,57,90,147,44,37,16,32,94,515
448,C.J. Watson,PG,31,ORL,33,2,656,47,137,14,48,33,89,34,39,10,56,66,88,19,5,25,49,142
449,Briante Weber,PG,23,TOT,7,4,169,14,39,0,5,14,34,3,4,8,17,25,21,9,3,9,12,31
449,Briante Weber,PG,23,MEM,6,4,166,13,38,0,5,13,33,3,4,8,16,24,20,9,3,9,11,29
449,Briante Weber,PG,23,MIA,1,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,2
450,Sonny Weems,SG-SF,29,TOT,43,0,499,42,110,15,41,27,69,8,15,7,46,53,49,10,1,41,47,107
450,Sonny Weems,SG,29,PHO,36,0,421,35,89,13,32,22,57,7,13,6,35,41,47,10,1,37,40,90
450,Sonny Weems,SF,29,PHI,7,0,78,7,21,2,9,5,12,1,2,1,11,12,2,0,0,4,7,17
451,David West,PF,35,SAS,78,19,1404,244,448,3,7,241,441,63,80,72,237,309,143,44,55,68,142,554
452,Russell Westbrook,PG,27,OKC,80,80,2750,656,1444,101,341,555,1103,465,573,145,481,626,834,163,20,342,200,1878
453,Hassan Whiteside,C,26,MIA,73,43,2125,413,682,0,0,413,682,214,329,238,627,865,30,44,269,137,201,1040
454,Shayne Whittington,PF,24,IND,7,0,41,5,11,0,2,5,9,1,2,5,7,12,3,1,1,5,7,11
455,Andrew Wiggins,SF,20,MIN,81,81,2845,594,1294,57,190,537,1104,430,565,105,186,291,164,78,46,182,165,1675
456,C.J. Wilcox,SG,25,LAC,23,0,167,26,66,9,23,17,43,9,12,1,11,12,10,10,2,2,15,70
457,Alan Williams,PF,23,PHO,10,0,68,10,24,0,0,10,24,9,14,14,24,38,5,4,5,6,15,29
458,Deron Williams,PG,31,DAL,65,63,2106,321,775,97,282,224,493,179,206,19,171,190,378,61,14,150,155,918
459,Derrick Williams,SF,24,NYK,80,9,1435,254,565,44,150,210,415,194,256,47,249,296,75,29,9,61,69,746
460,Elliot Williams,PG,26,MEM,5,0,45,2,10,1,4,1,6,3,4,1,3,4,4,0,0,1,2,8
461,Lou Williams,SG,29,LAL,67,35,1907,283,693,110,320,173,373,352,424,31,138,169,167,62,19,107,107,1028
462,Marvin Williams,PF,29,CHO,81,81,2338,338,747,152,378,186,369,120,144,127,394,521,110,58,77,62,133,948
463,Mo Williams,PG,33,CLE,41,14,748,132,302,36,102,96,200,38,42,6,66,72,98,14,5,57,60,338
464,Justise Winslow,SF,19,MIA,78,8,2232,195,462,32,116,163,346,80,117,81,322,403,117,68,26,95,184,502
465,Jeff Withey,C,25,UTA,51,10,658,87,162,0,2,87,160,43,59,56,117,173,20,21,53,28,75,217
466,Christian Wood,PF,20,PHI,17,0,145,22,53,4,11,18,42,13,21,13,25,38,3,5,7,2,11,61
467,Metta World Peace,SF,36,LAL,35,5,590,55,177,26,84,29,93,40,57,19,70,89,27,22,11,15,67,176
468,Brandan Wright,PF,28,MEM,12,2,212,35,52,0,0,35,52,13,24,14,29,43,6,5,15,10,21,83
469,Delon Wright,PG,23,TOR,27,1,229,36,80,5,13,31,67,26,35,8,29,37,31,8,3,16,7,103
470,Tony Wroten,PG,22,PHI,8,3,144,22,65,3,17,19,48,20,37,2,19,21,20,3,0,29,11,67
471,James Young,SG,20,BOS,29,0,199,11,36,6,26,5,10,1,4,4,22,26,9,6,1,5,17,29
472,Joe Young,PG,23,IND,41,0,384,62,169,10,46,52,123,20,25,6,44,50,65,15,0,33,30,154
473,Nick Young,SG,30,LAL,54,2,1033,126,372,77,237,49,135,63,76,14,83,97,34,23,7,30,50,392
474,Thaddeus Young,PF,27,BRK,73,73,2407,495,963,7,30,488,933,105,163,176,484,660,135,112,37,136,182,1102
475,Cody Zeller,C,23,CHO,73,60,1774,231,437,1,10,230,427,175,232,138,317,455,71,57,63,68,204,638
476,Tyler Zeller,C,26,BOS,60,3,710,138,290,0,0,138,290,88,108,62,116,178,29,10,22,46,97,364
